S000028864	TEL01L-TR
S000002143	YAL069W
S000031098	
S000028866	TEL01L-XR
S000028594	YAL068W-A
S000031372	
S000121252	ARS102
S000028862	TEL01L
S000028865	TEL01L-XC
S000034593	
S000034594	
S000002142	YAL068C
S000030944	
S000028593	YAL067W-A
S000031368	
S000121253	ARS103
S000000062	YAL067C
S000029932	
S000000061	YAL066W
S000029887	
S000001817	YAL065C
S000037154	
S000002141	YAL064W-B
S000034793	
S000002140	YAL064C-A
S000031541	
S000000060	YAL064W
S000037087	
S000006787	YALWdelta1
S000028813	YAL063C-A
S000033613	
S000000059	YAL063C
S000036982	
S000118317	ARS104
S000000058	YAL062W
S000036963	
S000000057	YAL061W
S000036902	
S000000056	YAL060W
S000036089	
S000000055	YAL059W
S000035122	
S000028734	YAL059C-A
S000033378	
S000000054	YAL058W
S000034933	
S000002139	YAL056C-A
S000035879	
S000000052	YAL056W
S000033885	
S000121254	ARS105
S000000051	YAL055W
S000033812	
S000000050	YAL054C
S000033073	
S000000049	YAL053W
S000033037	
S000000048	YAL051W
S000032862	
S000000047	YAL049C
S000031896	
S000028733	YAL047W-A
S000033377	
S000000046	YAL048C
S000030895	
S000000045	YAL047C
S000030803	
S000000044	YAL046C
S000030666	
S000007586	YAL044W-A
S000037097	
S000000043	YAL045C
S000030576	
S000000042	YAL044C
S000037751	
S000000041	YAL043C
S000037691	
S000000040	YAL042W
S000037669	
S000002138	YAL042C-A
S000030422	
S000000039	YAL041W
S000037599	
S000000038	YAL040C
S000036825	
S000000037	YAL039C
S000035956	
S000118318	ARS106
S000000036	YAL038W
S000035915	
S000028592	YAL037C-B
S000031366	
S000028732	YAL037C-A
S000033376	
S000000035	YAL037W
S000035798	
S000000034	YAL036C
S000034719	
S000000033	YAL035W
S000034678	
S000000032	YAL034W-A
S000031836	
S000002137	YAL034C-B
S000031374	
S000002134	YAL034C
S000034508	
S000000031	YAL033W
S000034465	
S000000030	YAL032C
S000033541	
S000028731	YAL031W-A
S000033375	
S000000029	YAL031C
S000033476	
S000000028	YAL030W
S000033437	
S000033438	
S000033439	
S000000027	YAL029C
S000033821	
S000000026	YAL028W
S000033747	
S000000025	YAL027W
S000033629	
S000028730	YAL026C-A
S000033374	
S000119380	HRA1
S000120654	
S000000024	YAL026C
S000030197	
S000000023	YAL025C
S000030064	
S000000022	YAL024C
S000029981	
S000000021	YAL023C
S000037355	
S000000020	YAL022C
S000037286	
S000000019	YAL021C
S000037200	
S000028729	YAL019W-A
S000032720	
S000000018	YAL020C
S000037124	
S000000017	YAL019W
S000037555	
S000000016	YAL018C
S000032033	
S000000015	YAL017W
S000031992	
S000118319	ARS107
S000028528	YAL016C-B
S000030333	
S000000014	YAL016W
S000031874	
S000028728	YAL016C-A
S000032719	
S000000013	YAL015C
S000036247	
S000000012	YAL014C
S000036146	
S000000011	YAL013W
S000036100	
S000000010	YAL012W
S000035250	
S000000009	YAL011W
S000035116	
S000000008	YAL010C
S000034958	
S000000007	YAL009W
S000034070	
S000000006	YAL008W
S000033957	
S000000005	YAL007C
S000033112	
S000006786	YALCdelta2
S000006680	tP(UGG)A
S000035969	
S000035967	
S000035968	
S000002136	YAL004W
S000032057	
S000000004	YAL005C
S000032096	
S000000003	YAL003W
S000031941	
S000031942	
S000031943	
S000007500	snR18
S000036595	
S000000002	YAL002W
S000031737	
S000121255	ARS108
S000000001	YAL001C
S000030735	
S000030734	
S000030736	
S000006463	CEN1
S000077257	
S000077258	
S000077259	
S000000063	YAR002W
S000035473	
S000002129	YAR002C-A
S000032940	
S000000064	YAR003W
S000035547	
S000000065	YAR007C
S000036676	
S000000066	YAR008W
S000037450	
S000077372	ARS109
S000121251	
S000118986	
S000006788	YARCdelta3
S000006789	YARCdelta4
S000000067	YAR009C
S000037508	
S000000068	YAR010C
S000030210	
S000006792	YARCTy1-1
S000006790	YARCdelta5
S000006521	tA(UGC)A
S000034842	
S000000069	YAR014C
S000031457	
S000000070	YAR015W
S000031548	
S000000071	YAR018C
S000032711	
S000028735	YAR019W-A
S000033379	
S000000072	YAR019C
S000032794	
S000114488	ARS110
S000000073	YAR020C
S000034578	
S000000074	YAR023C
S000035643	
S000006636	tL(CAA)A
S000033745	
S000033743	
S000033744	
S000006719	tS(AGA)A
S000032337	
S000006795	YARWsigma1
S000006793	YARWdelta6
S000000075	YAR027W
S000036855	
S000000076	YAR028W
S000036899	
S000000077	YAR029W
S000036967	
S000000078	YAR031W
S000030609	
S000001821	YAR030C
S000036694	
S000000079	YAR033W
S000030819	
S000006794	YARWdelta7
S000000080	YAR035W
S000031976	
S000028595	YAR035C-A
S000031375	
S000000081	YAR042W
S000035065	
S000000083	YAR047C
S000031684	
S000000084	YAR050W
S000036444	
S000000085	YAR053W
S000037285	
S000006791	YARCdelta8
S000121256	ARS111
S000000086	YAR060C
S000032661	
S000000087	YAR061W
S000033393	
S000000088	YAR062W
S000033463	
S000000089	YAR064W
S000033577	
S000002144	YAR066W
S000034603	
S000000091	YAR068W
S000035691	
S000121257	ARS112
S000000092	YAR069C
S000035758	
S000000093	YAR070C
S000036733	
S000000094	YAR071W
S000036824	
S000000095	YAR073W
S000037618	
S000002145	YAR075W
S000037740	
S000028939	TEL01R-XC
S000035708	
S000035709	
S000028937	TEL01R
S000028938	TEL01R-TR
S000028902	TEL10L-TR
S000028438	ARS1001
S000028665	YJL225W-A
S000032490	
S000003760	YJL225C
S000033322	
S000033321	
S000033323	
S000028905	TEL10L-YP
S000034739	
S000034740	
S000028904	TEL10L-XR
S000034737	
S000028439	ARS1002
S000028901	TEL10L
S000028903	TEL10L-XC
S000034734	
S000034735	
S000003759	YJL223C
S000032445	
S000028664	YJL222W-B
S000032489	
S000028663	YJL222W-A
S000032488	
S000003758	YJL222W
S000032381	
S000028440	ARS1003
S000003756	YJL220W
S000032208	
S000003757	YJL221C
S000032237	
S000003755	YJL219W
S000031251	
S000003754	YJL218W
S000031119	
S000003753	YJL217W
S000030093	
S000028441	ARS1004
S000003752	YJL216C
S000029921	
S000003751	YJL215C
S000037269	
S000003750	YJL214W
S000037229	
S000003749	YJL213W
S000037130	
S000003748	YJL212C
S000037000	
S000003746	YJL210W
S000036292	
S000003747	YJL211C
S000036326	
S000003745	YJL209W
S000034944	
S000003744	YJL208C
S000033945	
S000003743	YJL207C
S000033803	
S000003741	YJL206C
S000033077	
S000003742	YJL205C
S000034430	
S000034429	
S000034431	
S000003740	YJL204C
S000032878	
S000003739	YJL203W
S000032839	
S000003738	YJL202C
S000031876	
S000003737	YJL201W
S000031819	
S000003736	YJL200C
S000031641	
S000006743	tT(AGU)J
S000032173	
S000007027	YJLWdelta1
S000003735	YJL199C
S000035098	
S000003734	YJL198W
S000034201	
S000003733	YJL197W
S000034104	
S000028839	YJL197C-A
S000034494	
S000028442	ARS1005
S000003732	YJL196C
S000033953	
S000003730	YJL194W
S000033118	
S000003731	YJL195C
S000033155	
S000003729	YJL193W
S000033028	
S000003728	YJL192C
S000032055	
S000003727	YJL191W
S000032004	
S000032005	
S000032006	
S000003726	YJL190C
S000031736	
S000003725	YJL189W
S000030844	
S000030845	
S000030846	
S000003724	YJL188C
S000037873	
S000003723	YJL187C
S000037770	
S000003722	YJL186W
S000037744	
S000003721	YJL185C
S000036951	
S000003720	YJL184W
S000036918	
S000003719	YJL183W
S000036862	
S000003717	YJL181W
S000035872	
S000003718	YJL182C
S000035944	
S000003716	YJL180C
S000035717	
S000003715	YJL179W
S000034696	
S000003714	YJL178C
S000033739	
S000003713	YJL177W
S000033683	
S000033684	
S000033685	
S000003711	YJL175W
S000033497	
S000003712	YJL176C
S000033535	
S000003710	YJL174W
S000032753	
S000003709	YJL173C
S000032609	
S000003708	YJL172W
S000032538	
S000028443	ARS1006
S000003707	YJL171C
S000031523	
S000003706	YJL170C
S000031474	
S000003705	YJL169W
S000030718	
S000003704	YJL168C
S000030590	
S000003703	YJL167W
S000030519	
S000003702	YJL166W
S000030370	
S000003701	YJL165C
S000037517	
S000003700	YJL164C
S000037409	
S000028444	ARS1007
S000003699	YJL163C
S000036682	
S000003698	YJL162C
S000036580	
S000006557	tE(UUC)J
S000035988	
S000003697	YJL161W
S000036525	
S000003696	YJL160C
S000035585	
S000003695	YJL159W
S000035769	
S000003694	YJL158C
S000035606	
S000003693	YJL157C
S000035524	
S000007613	YJL156W-A
S000037190	
S000003692	YJL156C
S000034507	
S000003691	YJL155C
S000034402	
S000003690	YJL154C
S000034312	
S000003689	YJL153C
S000033398	
S000003688	YJL152W
S000033364	
S000003687	YJL151C
S000033267	
S000003686	YJL150W
S000033233	
S000003685	YJL149W
S000032472	
S000006508	snR128
S000035225	
S000006509	snR190
S000030414	
S000003684	YJL148W
S000032342	
S000003683	YJL147C
S000031289	
S000003682	YJL146W
S000031249	
S000003681	YJL145W
S000031116	
S000003680	YJL144W
S000030090	
S000003679	YJL143W
S000029979	
S000003678	YJL142C
S000037267	
S000003677	YJL141C
S000037175	
S000003676	YJL140W
S000037123	
S000003675	YJL139C
S000035317	
S000003674	YJL138C
S000035154	
S000003673	YJL137C
S000035008	
S000028806	YJL136W-A
S000033589	
S000003672	YJL136C
S000034084	
S000034083	
S000034085	
S000003671	YJL135W
S000034027	
S000003670	YJL134W
S000033888	
S000028805	YJL133C-A
S000033587	
S000003669	YJL133W
S000033746	
S000003668	YJL132W
S000033018	
S000003667	YJL131C
S000032877	
S000003666	YJL130C
S000031969	
S000122104	
S000003665	YJL129C
S000032672	
S000003664	YJL128C
S000031693	
S000007612	YJL127W-A
S000037189	
S000028522	YJL127C-B
S000030318	
S000003663	YJL127C
S000031537	
S000003662	YJL126W
S000031498	
S000003661	YJL125C
S000030509	
S000003660	YJL124C
S000030388	
S000003659	YJL123C
S000030206	
S000003658	YJL122W
S000037544	
S000003656	YJL120W
S000037326	
S000003657	YJL121C
S000037363	
S000003654	YJL118W
S000035604	
S000003655	YJL119C
S000035622	
S000003653	YJL117W
S000035509	
S000003652	YJL116C
S000034420	
S000003651	YJL115W
S000034387	
S000006514	tA(AGC)J
S000032283	
S000007035	YJLWsigma1
S000007036	YJLWtau1
S000007039	YJLWTy4-1
S000003650	YJL114W
S000034265	
S000003649	YJL113W
S000034131	
S000034132	
S000034133	
S000007037	YJLWtau2
S000028445	ARS1008
S000007022	YJLCdelta3
S000006536	tD(GUC)J1
S000030769	
S000003648	YJL112W
S000033273	
S000003647	YJL111W
S000033222	
S000003646	YJL110C
S000033132	
S000003645	YJL109C
S000032396	
S000003644	YJL108C
S000032288	
S000003643	YJL107C
S000031290	
S000003642	YJL106W
S000031252	
S000003641	YJL105W
S000031110	
S000003640	YJL104W
S000031000	
S000006501	snR37
S000036767	
S000028446	ARS1009
S000003639	YJL103C
S000029933	
S000003638	YJL102W
S000029898	
S000006702	tR(ACG)J
S000030405	
S000003637	YJL101C
S000037157	
